Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 350121 to 350121
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 350121 to run 350121  lasting from Sat May 12 02:00:08 2018 UTC to Sat May 12 16:57:50 2018 UTC
Event Veto ['MiniNoiseBurst'], Sat May 12 03:06:10 2018 UTC-Sat May 12 03:06:10 2018 UTC (0.001 )  Time stamp start 1526094370795379640 end 1526094370794379640  Run 350121, LB 76, lumi 19.39
Event Veto ['MiniNoiseBurst'], Sat May 12 03:06:12 2018 UTC-Sat May 12 03:06:12 2018 UTC (0.001 )  Time stamp start 1526094372301108285 end 1526094372300108285  Run 350121, LB 76, lumi 19.39
Event Veto ['MiniNoiseBurst'], Sat May 12 03:06:17 2018 UTC-Sat May 12 03:06:17 2018 UTC (0.001 )  Time stamp start 1526094377946049415 end 1526094377945049415  Run 350121, LB 76, lumi 19.39
Event Veto ['MiniNoiseBurst'], Sat May 12 03:06:19 2018 UTC-Sat May 12 03:06:19 2018 UTC (0.001 )  Time stamp start 1526094379450340720 end 1526094379449340720  Run 350121, LB 76, lumi 19.39
Event Veto ['MiniNoiseBurst'], Sat May 12 03:06:24 2018 UTC-Sat May 12 03:06:24 2018 UTC (0.001 )  Time stamp start 1526094384978624950 end 1526094384977624950  Run 350121, LB 76, lumi 19.39
Event Veto ['MiniNoiseBurst'], Sat May 12 03:06:28 2018 UTC-Sat May 12 03:06:28 2018 UTC (0.001 )  Time stamp start 1526094388120429260 end 1526094388119429260  Run 350121, LB 76, lumi 19.39
Event Veto ['MiniNoiseBurst'], Sat May 12 03:06:31 2018 UTC-Sat May 12 03:06:31 2018 UTC (0.001 )  Time stamp start 1526094391895198360 end 1526094391894198360  Run 350121, LB 76, lumi 19.39
Event Veto ['MiniNoiseBurst'], Sat May 12 03:06:33 2018 UTC-Sat May 12 03:06:33 2018 UTC (0.001 )  Time stamp start 1526094393783488970 end 1526094393782488970  Run 350121, LB 76, lumi 19.39
Event Veto ['MiniNoiseBurst'], Sat May 12 03:06:40 2018 UTC-Sat May 12 03:06:40 2018 UTC (0.001 )  Time stamp start 1526094400380239545 end 1526094400379239545  Run 350121, LB 76, lumi 19.39
Event Veto ['MiniNoiseBurst'], Sat May 12 03:06:42 2018 UTC-Sat May 12 03:06:42 2018 UTC (0.001 )  Time stamp start 1526094402533978020 end 1526094402532978020  Run 350121, LB 76, lumi 19.39
