Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 363129 to 363129
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 363129 to run 363129  lasting from Mon Oct  8 00:08:17 2018 UTC to Mon Oct  8 12:20:22 2018 UTC
Event Veto ['MiniNoiseBurst'], Mon Oct  8 01:53:51 2018 UTC-Mon Oct  8 01:53:51 2018 UTC (0.001 )  Time stamp start 1538963631075811340 end 1538963631074811340  Run 363129, LB 112, lumi 17.18
Event Veto ['MiniNoiseBurst'], Mon Oct  8 01:54:06 2018 UTC-Mon Oct  8 01:54:06 2018 UTC (0.001 )  Time stamp start 1538963646081483090 end 1538963646080483090  Run 363129, LB 112, lumi 17.18
Event Veto ['MiniNoiseBurst'], Mon Oct  8 01:54:51 2018 UTC-Mon Oct  8 01:54:51 2018 UTC (0.001 )  Time stamp start 1538963691708895090 end 1538963691707895090  Run 363129, LB 113, lumi 17.13
Event Veto ['MiniNoiseBurst'], Mon Oct  8 01:55:07 2018 UTC-Mon Oct  8 01:55:07 2018 UTC (0.001 )  Time stamp start 1538963707202171240 end 1538963707201171240  Run 363129, LB 113, lumi 17.13
Event Veto ['MiniNoiseBurst'], Mon Oct  8 01:55:53 2018 UTC-Mon Oct  8 01:55:53 2018 UTC (0.001 )  Time stamp start 1538963753683692985 end 1538963753682692985  Run 363129, LB 114, lumi 17.08
Event Veto ['MiniNoiseBurst'], Mon Oct  8 01:56:09 2018 UTC-Mon Oct  8 01:56:09 2018 UTC (0.001 )  Time stamp start 1538963769190339795 end 1538963769189339795  Run 363129, LB 114, lumi 17.08
Event Veto ['MiniNoiseBurst'], Mon Oct  8 01:56:25 2018 UTC-Mon Oct  8 01:56:25 2018 UTC (0.001 )  Time stamp start 1538963785015017390 end 1538963785014017265  Run 363129, LB 115, lumi 17.03
Event Veto ['MiniNoiseBurst'], Mon Oct  8 01:57:24 2018 UTC-Mon Oct  8 01:57:24 2018 UTC (0.001 )  Time stamp start 1538963844475333925 end 1538963844474333925  Run 363129, LB 116, lumi 17.00
Event Veto ['MiniNoiseBurst'], Mon Oct  8 01:57:27 2018 UTC-Mon Oct  8 01:57:27 2018 UTC (0.001 )  Time stamp start 1538963847542813055 end 1538963847541813055  Run 363129, LB 116, lumi 17.00
Event Veto ['MiniNoiseBurst'], Mon Oct  8 01:57:42 2018 UTC-Mon Oct  8 01:57:42 2018 UTC (0.001 )  Time stamp start 1538963862614369425 end 1538963862613369425  Run 363129, LB 116, lumi 17.00
